Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2021-03-08,100.1809310913086,101.81837289254655,98.63178359972476,98.72007790937889,7572203
2021-03-09,99.67523193359375,101.4812358508306,99.65917959033077,100.6544889282753,5867014
2021-03-10,102.63706970214844,102.93405725379776,100.02037774693744,100.37354849709241,7581199
2021-03-11,102.0511245727539,103.25512709107258,101.76216319968982,102.81365565768434,5383657
2021-03-12,102.42839050292969,102.48458011471385,101.62572843226884,102.09127204891827,4194565
2021-03-15,103.20697784423828,103.34342917573211,102.37220469991955,102.55681946965873,3577948
2021-03-16,102.93406677246094,103.15881880395801,102.21166645735437,102.96617786585436,4867247
2021-03-17,103.56818389892578,103.93740704242018,102.33207008903643,103.11066004876304,4488804
2021-03-18,104.39491271972656,105.14941762558068,102.57285661970622,103.49592392610326,6104142
2021-03-19,103.46382141113281,104.6999286261889,103.16683386400801,104.3628038180365,10297870
2021-03-22,104.78823852539062,104.92469627376686,102.65314845482455,103.14277061661556,4356485
2021-03-23,104.71600341796875,105.59893367197425,104.18624398445246,104.69995107234172,4556794
2021-03-24,104.84442138671875,106.04039792055842,104.8042905254078,105.10930428806435,4189230
2021-03-25,106.81095886230469,106.94741660644613,104.1621553826825,104.61165307219277,5809484
2021-03-26,109.46778869628906,109.54805041702706,106.85109005555837,106.98754138637727,5823710
2021-03-29,109.0504150390625,110.0216396250756,108.7694797665205,109.14672911535283,4835344
2021-03-30,108.13534545898438,109.37948529926653,107.57347502717131,109.05039305492309,5010758
2021-03-31,106.96345520019531,108.12732693421094,106.52198373997112,107.99086280204878,5172575
2021-04-01,106.93937683105469,107.50124089817179,106.16881948107064,107.36479597434278,4261404
2021-04-05,109.10657501220703,109.71660250132396,107.07583184464336,107.26847277863439,5722980
2021-04-06,107.7340087890625,108.87380196929124,107.62966215761826,108.82563213083446,3787566
2021-04-07,108.30390930175781,108.31194187930903,107.3808482787409,107.42900531066279,3112896
2021-04-08,108.45641326904297,108.8657672098275,107.68584960271095,108.0149418328888,4275211
2021-04-09,108.946044921875,108.95406468760702,108.12732420520402,108.25574294593524,3162999
